idnumber,City_ Location,day,Sex,Age,Time,Day_of_week,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Lanes_or_Medians,Road_allignment,Road_surface_type,Vehicle_movement,Label,results
k9r1msud,Bengaluru,12-10-19,M,40,17:02:00,Monday,Above high school,Employee,1-2yr,Automobile,Owner,Above 10yr,,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
sqp5md9p,Gurgaon,13-10-19,F,49,17:02:00,Monday,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
gcjyir89,Bengaluru,14-10-19,M,37,17:02:00,Monday,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,,other,,Asphalt roads,Going straight,1,1
y86m85pe,New Delhi,15-10-19,F,48,1:06:00,Sunday,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,,other,Tangent road with mild grade and flat terrain,Earth roads,Going straight,1,1
b7cgoahx,Mumbai,16-10-19,M,54,1:06:00,Sunday,Junior high school,Employee,2-5yr,,Owner,5-10yrs,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
uo8y3p7l,Chennai,17-10-19,M,39,14:15:00,Friday,,Unknown,,,,,,,,U-Turn,0,0
jol1lmh6,Gurgaon,18-10-19,F,45,17:30:00,Wednesday,Junior high school,Employee,2-5yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,,Moving Backward,0,0
gyaxcvf7,Pune,19-10-19,M,54,17:20:00,Friday,Junior high school,Employee,2-5yr,Automobile,Governmental,Above 10yr,other,Tangent road with flat terrain,Asphalt roads,U-Turn,1,1
22gflsaj,Gurgaon,20-10-19,M,37,17:20:00,Friday,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,1-2yr,other,Tangent road with flat terrain,Earth roads,Going straight,1,1
2b4hrqxh,Bengaluru,21-10-19,F,48,17:20:00,Friday,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,U-Turn,0,0
a25ba7dz,Gurgaon,22-10-19,F,37,14:40:00,Saturday,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,Unknown,other,Tangent road with flat terrain,Asphalt roads,Turnover,1,1
6oar2s62,Bengaluru,23-10-19,M,58,14:40:00,Saturday,Above high school,Employee,No Licence,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Earth roads,Going straight,1,1
ricyffij,Bengaluru,24-10-19,M,39,17:45:00,Thursday,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,2-5yrs,Double carriageway (median),Escarpments,Asphalt roads,Going straight,1,1
